Number,Area,Date,Average,Highest,Lowest,Precipitation,Humidity
236,부여,2018-07-11,27.40 ,32.4,23,,82
236,부여,2018-07-12,27.50 ,32.3,23.6,,80
236,부여,2018-07-13,27.60 ,32.3,24.5,,78
236,부여,2018-07-14,27.10 ,32.5,23.4,,79
236,부여,2018-07-15,27.90 ,34.4,22.8,,76
236,부여,2018-07-16,27.20 ,33.5,21.7,,74
238,금산,2018-07-09,19.60 ,20.8,18.5,14.5,88
238,금산,2018-07-10,25.20 ,31.4,18.5,,76
238,금산,2018-07-11,26.90 ,33.3,21.8,,77
238,금산,2018-07-12,27.20 ,33,22.4,,76
238,금산,2018-07-13,27.90 ,33.9,24,,74
238,금산,2018-07-14,27.90 ,33.6,24.2,,72
238,금산,2018-07-15,28.20 ,34.1,22.7,,69
238,금산,2018-07-16,27.70 ,34.2,21.2,,69
243,부안,2018-07-09,23.70 ,26.5,20.8,8,80
243,부안,2018-07-10,27.10 ,31.8,22.5,,74
243,부안,2018-07-11,28.30 ,33.8,24.1,,73
243,부안,2018-07-12,27.50 ,32,24.1,,78
243,부안,2018-07-13,28.00 ,31.4,24.9,,76
243,부안,2018-07-14,27.40 ,31.8,23.7,,76
243,부안,2018-07-15,27.70 ,34.5,23.4,,77
243,부안,2018-07-16,27.50 ,33,22.9,,72
244,임실,2018-07-09,20.90 ,22.6,18.7,2.5,89
244,임실,2018-07-10,24.90 ,29.4,20.7,,80
244,임실,2018-07-11,26.50 ,32.4,22.1,,78
244,임실,2018-07-12,26.90 ,33,21.5,,78
244,임실,2018-07-13,27.90 ,33.8,23.7,,76
244,임실,2018-07-14,27.60 ,33.5,22.9,,74
244,임실,2018-07-15,28.40 ,34.8,23.7,,70
244,임실,2018-07-16,27.50 ,34.7,21.3,,73
245,정읍,2018-07-09,23.40 ,25.7,20.5,0.3,89
245,정읍,2018-07-10,27.50 ,31.5,23.8,,80
245,정읍,2018-07-11,28.20 ,32.8,24.1,,81
245,정읍,2018-07-12,27.50 ,32.8,23.2,,85
245,정읍,2018-07-13,27.00 ,32.2,23.9,,88
245,정읍,2018-07-14,26.70 ,32.8,22.5,,86
245,정읍,2018-07-15,27.50 ,34.3,22.9,,84
245,정읍,2018-07-16,27.00 ,33.4,21.9,,82
247,남원,2018-07-09,21.40 ,22.7,20.2,2.1,85
247,남원,2018-07-10,26.00 ,29.6,21.1,,76
247,남원,2018-07-11,27.20 ,31.7,22.8,,77
247,남원,2018-07-12,27.90 ,33.5,22.2,,75
247,남원,2018-07-13,29.10 ,33.8,25.6,,72
247,남원,2018-07-14,28.40 ,34,24.8,,72
247,남원,2018-07-15,29.10 ,35.6,24.2,,69
247,남원,2018-07-16,28.50 ,34.8,22.9,,72
260,장흥,2018-07-09,22.60 ,24.2,21,0.6,90
260,장흥,2018-07-10,25.20 ,29.3,22.3,,83
260,장흥,2018-07-11,26.40 ,29.1,23.1,,83
260,장흥,2018-07-12,27.10 ,30.6,24.6,,85
260,장흥,2018-07-13,27.70 ,33.2,23.3,,80
260,장흥,2018-07-14,27.70 ,33.8,22.2,,79
260,장흥,2018-07-15,27.70 ,34.1,23.6,,81
260,장흥,2018-07-16,27.40 ,32.7,22.7,,80
